,Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo
0,"- Proficient in Adobe Photoshop, Adobe Illustrator, and graphic tablet usage
- Experienced in UI/UX design
- Familiarity with Figma, Zeplin, Sketch, MarvelApp, and Invision
- Skilled in 2D graphics including pixel and vector graphics
- Knowledgeable in 2D design and 3D Max
- Ability to work in various styles and draw by hand
- Proficient in creating design banners, layouts, logos, frameworks, and prototypes for websites and mobile applications
- Skilled in game testing and creating presentations in Power Point
- Experienced in bug tracking systems and project management tools such as Trello and Jira
- Possess a portfolio showcasing previous work
- Self-motivated artist with over 5 years of experience in the game industry
- Seeking to apply skills and experience to new and interesting projects while expanding knowledge and skills
- Goal-oriented individual looking to work in a friendly team environment on exciting projects with competitive compensation"
1,"- Proficient in Adobe Photoshop, Adobe Illustrator, and graphic tablet utilization
- Experienced in UI/UX design
- Skilled in Figma, Zeplin, Sketch, MarvelApp, and Invision
- Knowledgeable in 2D graphics including pixel and vector graphics
- Proficient in 2D design and 3D Max
- Able to work in various styles and draw by hand
- Experienced in creating design banners, layouts, logos, frameworks, and prototypes for websites and mobile applications
- Skilled in game testing and making presentations in Power Point
- Portfolio available for review
- Familiar with bug tracking systems and project management tools such as Trello and Jira
- Over 5 years of experience in the game industry
- Seeking new opportunities to share experience and acquire new skills while working with passion towards achieving project goals
- Goal-oriented individual with a desire to bring others' dreams to life while working in a positive and collaborative environment with interesting projects and competitive compensation"
2,"- Web and UX/UI designer with experience in website redesign and user interface design
- Successfully led projects including the redesign of the Children's Music School website and development of Pet-Saver-Hub
- Conducted thorough analysis and user research to create intuitive and visually appealing designs
- Proficient in wireframing, visual design, user research, and responsive design
- Strong focus on creating user-friendly interfaces and improving user experience
- Skilled in collaborating with professionals, communication, teamwork, and collecting user feedback
- Enthusiastic about contributing to impactful projects and learning new design technologies and trends"
3,"Over 50 Websites
More than 30 Logotypes
4 Mobile Apps
3 Games
1 Social Network
Facility, Kiev — Head of Design Department
Mar 2018 - Present
Organising design team process, optimisation of design flow for different project types. Developing concepts for websites, brands and other products; creating UI/UX, animations, logo books, brand guidelines and brandbooks. Taking a leading role in tenders and offline company activity.
- Publications on medium.com, mmr.ua, cases.media, vc.ru;
- Judging on CSSDA, Ukraine Creative Week. Now on the final stones to joining awwwards judge team;
- Educational lectures in Underhub co-working.

Kiev Smart City, Kiev 
Work on concept and final product visualisation for Kiev Smart Card. Developing a row of dynamic city ads concepts.

Mastercard, Kiev
Creating illustrations and limited edition products for 2018 UEFA Champions League Final in Kiev, concept for brand activating program on Ukraine Independence Day 2018.

“Stampede Games”, Kiev
Worked on mobile games, developing visual concepts and UI. Creating concept arts for the second part of game.
Games that were featured and took a place on top-charts:
- Evo Explores
- .projekt
Opportunity for career and financial growth, interesting projects, good management."
4,"- Over 12 years of experience in design
- Completed over 300 projects, including:
  - 30 products from scratch
  - 30 mobile applications
  - 80 websites
  - 100 logos and corporate styles
- Created and managed own studio with 20 employees
- Taught over 150 students in UI/UX & brand design
- Speaker at Dribble & etc. conferences
- Master's degree in “Engineering Design”
- Currently pursuing MBA
- Experience in industries such as eCommerce, Finance, Banking, Investments, Marketing, Social Media, Laws, Education, Development, NFT, Art, Auto, Game, Building, Agro, Food, Coffee, Fashion, Beauty, Food, Service, Music, Dance, MMA, Medicine, Space, Sex, Sport, Technique, Weapon, Insurance
- Worked with clients from USA, United Kingdom, Germany, Netherlands, Italy, France, Greece, Estonia, Australia, China & Ukraine
- Positions held include:
  - UX Designer at Bank BVR
  - UI/UX Design Teacher at Hillel IT School
  - Lead Product Designer at Innovation Box
  - UI/UX & Brand Designer at Ardas
  - UI/UX & Brand Designer at M2E pro
  - UI/UX & Brand Designer at Forforce
  - UI/UX & Brand Designer at Art. Lebedev Studio
  - CEO & Designer at Own Design Studio
  - UI/UX & Brand Designer at «Poster»
  - UI/UX & Brand Designer at «le Weekend»
  - UI/UX & Brand Designer at «November» Design Bureau
  - Freelance Graphic Designer
  - Cartoonist in Paint
  - Graduate of Drawing School"
5,"6+ years experienced and detail-oriented Digital designer with a proven ability to lead and manage UI design teams. Skilled in developing user-friendly solutions for websites, focusing on visual and brand storytelling. Strong track record of creating e-commerce, services, and corporate websites with a focus on user-centric design.

Skills:
- Strong understanding of user experience
- Cross functional experience working with developers
- Exceptional problem solving skills
- Attention to detail and dedication to proper delivery
- Collaborative mindset with interest in working with brand and marketing teams

Tools:
- Adobe (Photoshop, Illustrator, Invision, After Effect)
- Sketch
- Maxcon C4D
- Figma

Experience:
Art Director, UI senior designer | Freelance | February 2019 - Present

UI team lead, UI senior designer | Intetics Inc. | June 2018 - January 2019
- Led and managed UI team
- Oversaw web design projects from start to finish
- Provided feedback and guidance to UX and UI designers
- Worked with developers and QA to implement designs accurately
- Created wireframes, workflows, prototypes, sketches, and high-fidelity mockups
- Presented and defended designs to peers and stakeholders
- Established and promoted design guidelines and standards

Art Director, UI Senior designer | Vintage Web Production | February 2015 - Mai 2018
- Developed and executed concepts
- Created the ""WOW"" factor in designs
- Provided initial designs, worked with developers through project delivery
- Mentored and motivated team members
- Presented creative ideas to clients

UI Web designer | Indigo Web Development | October 2014 - February 2015
- Executed design concepts
- Built presentations and documentation
- Assisted in designing long term projects, including services and e-commerce sites"
6,"Started using 3D made by myself in my design. Have a lot of experience designing key visuals, SMM, and printing materials. Successfully designed logos and identities for new brands. Managed a small team of two junior designers. Created custom sticker pack for Telegram and Viber. Completed a UI/UX course at Beetroot Academy, further developing skills in user-centered design and user experience.

Worked as Graphic Designer/Lead Graphic Designer and Prepress Operator/DTP Designer. Expert in Adobe Photoshop and Illustrator. Good in Adobe InDesign and Figma. Some skill in Blender and After Effects.

Last three jobs:
1. Graphic designer & UI/UX designer at QA Madness
- Contributed significantly to the global redesign of the company.
- Redesigned website to reflect new vision and style.
- Successfully introduced and implemented a fresh visual style for presentations.
- Redesigned all SMM materials for LinkedIn, Instagram, and DOU.
Main achievements: started using 3D made by myself in my design.

2. Graphic Designer at Kronas
- Designed logos, identities, and related printing materials for new brands.
- Developed monthly advertising key visuals for various platforms.
- Introduced and implemented a new visual style for the company's Instagram profile.
- Created multi-page catalogs and brochures with products in InDesign.
- Updated the company's YouTube channel and designed covers for videos.
Main achievements:
• Developed a sticker pack for Telegram and Viber
• Designed the branding stands and navigation for a new trade hall.

3. Graphic Designer at Design Studio ToTop
- Developed design for various companies across different industries.
- Created logos, identities, and outdoor advertising materials.
- Produced realistic product visualizations in Photoshop.
- Designed a variety of printing materials for companies.
- Created multi-page catalogs and brochures.
Main achievement: Designed a brochure within one working day, gaining client approval, creating 16 pages, and launching it into print."
7,"-15x Featured in Behance
-Featured in LogoLounge Trends Report 2021
-Featured in LogoLounge Book 12
-Featured in World Logo & Mark Book (Japan 2020)
-50+ Logo Contests won (2015-2018)

During my 9+ years of design experience, I have worked on a variety of projects, including logo design, branding, 3D modeling, and more. I have experience working with clients from around the world as a freelance designer, as well as in teams and agencies for over 3 years.

I am now seeking opportunities to work with a team to create innovative products and solutions. My passion lies in UI/UX design and neural network development, and I am committed to ongoing learning and growth in these areas.

Recent Projects:
-3D logo animation & branding for volunteer organization www.Bless-Ukraine.com
-Logo & branding for social music platform - hook (Coming soon) [ Created Together with www.creative.geex-arts.com agency / View full case on Behance ]
-Logo for crypto-based fund www.Ignaz.com
-Logo & Branding for music production studio AnemoNoise.com
-Logo & Branding for the crypto-based game ""NDA for now"" [Coming soon]

Skills:
- Logo & Branding
- Brandbooks & Guidelines
- UI/UX Design
- Adaptive Web & Mobile design
- Html/CSS/Js
- Typography & Fonts
- Visual design & Presentations
- 3D Modeling & Animation
- Illustrations, Icons
- Gaming

Software:
Adobe [ Illustrator, Photoshop, After Effects, Lightroom ], Figma, Blender, Keynote, Webflow, Readymag, Spline, Notion, Gpt3"
8,"- Established and trained a team of designers, providing mentorship to trainees and junior staff
- Demonstrated strong communication skills throughout all stages of projects
- Implemented and maintained structured processes within the company
- Proactively sought out opportunities to improve processes
- Actively participated in company initiatives and events
- Tailored management approach to individual team members
- Conducted regular feedback sessions with team members
- Developed personal design projects
- Experienced Lead UX/UI Designer with 4+ years of experience
- Skilled in problem-solving and generating innovative ideas
- Proficient in process structuring and documentation
- Collaborative team player with a unique perspective
- Driven to continuously improve and incorporate new knowledge
- Utilized creativity as a primary tool in design projects
- Specialized in landing page design, application interfaces, CRM systems, game interfaces, marketing materials, branding, logos, and illustration
- Managed team development through creation of development matrix, training, mentorship, problem-solving, and support for mental well-being
- Passionate about creating user-friendly products and avoiding harmful services."
9,"Took personal part in the creation of more than 100 website designs, brand and advertising projects. Experienced professional with 6+ years in website, mobile, and graphic design. Skilled in UX prototyping, UI design, and motion design for desktop and mobile applications.

SKILLS:
- Graphic design (Printed Products, Banners, Illustrations, Icons)
- Web design (Responsive, Adaptive)
- Mobile design (iOS, Android)
- Wireframes
- Interactive prototypes
- Principles of atomic design
- User personas and user flows
- Basics of HTML, CSS

TOOLS:
- Figma (team libraries, auto layout, components properties, branches)
- Adobe Photoshop
- Adobe Illustrator
- Adobe After Effects

Seeking to join a strong team to work on interesting projects and bring artistic taste to contemporary design."
