,Modified_meta-llama/Llama-3.3-70B-Instruct-Turbo_of_CV_Modelmeta-llama/Llama-3.3-70B-Instruct-Turbo
0,"Self-Motivated Artist
Highly skilled artist with 5+ years of experience in the game industry, seeking to expand expertise through innovative projects and collaborations.

Key Skills:
- Proficient in Adobe Photoshop and Adobe-AI, with experience working with a graphic tablet
- UI/UX design
- Proficient in Figma, Zeplin, Sketch, MarvelApp, and Invision
- Strong understanding of 2D graphics, including pixel and vector graphics
- Experienced in 2D design and 3D Max
- Ability to work in various styles and draw by hand
- Skilled in creating design banners, layouts, logos, frameworks, and prototypes for websites and mobile applications
- Experienced in testing games and creating presentations in PowerPoint

Tools and Software:
- Trello and Jira for bug tracking and project management

Portfolio Available

About Me:
Results-driven artist with a strong background in the game industry, looking to join a company with a friendly team, interesting projects, and a decent wage, where I can bring ideas to life and continue to grow professionally."
1,"Self-Motivated Artist
Highly skilled artist with over 5 years of experience in the game industry, seeking to expand my expertise through exciting projects and collaborations.

Key Skills:
• Adobe Photoshop and Adobe-AI, with proficiency in working with a graphic tablet
• UI/UX design
• Proficient in Figma, Zeplin, Sketch, MarvelApp, and Invision
• 2D graphics, including understanding of pixel and vector graphics
• 2D Design and 3D Max
• Ability to work in various styles and draw by hand
• Creation of design banners, layouts, logos, frameworks, and prototypes for websites and mobile applications
• Game testing and quality assurance
• Presentation design using PowerPoint

Tools and Software:
• Trello and Jira for bug tracking and project management

Experience:
Over 5 years of experience in the game industry, with a strong background in design and game development.

Portfolio:
Available upon request.

Career Goals:
To bring creative visions to life while working in a collaborative and dynamic environment with a friendly team, interesting projects, and a competitive salary."
2,"Web Designer & UX/UI Designer

Summary:
Highly motivated and detail-oriented web and UX/UI designer with experience in website redesign, UX/UI design, and user research. Proficient in wireframing, visual design, and responsive design. Seeking to contribute to projects that have significance and impact people's lives, and collaborate with professionals to grow and learn new things.

Experience:
Web Designer & UX/UI Designer
- Redesigned the Children's Music School website, creating a new landing page that is visually appealing and easy to navigate
- Conducted thorough analysis of existing websites to identify strengths and weaknesses
- Created detailed wireframes and user flows to ensure intuitive and user-friendly interfaces
- Designed user-friendly interfaces for Pet-Saver-Hub, a web service project for rescuing lost and found animals
- Incorporated interactive elements, such as map features, to enhance user experience
- Utilized responsive design principles to ensure compatibility across all devices

Skills:
- Wireframing
- Visual design
- User research
- Responsive design
- UX/UI design

Career Goals:
- Develop skills in UI/UX design and contribute to projects with significance and impact
- Collaborate with professionals to grow and learn new things
- Participate in challenging projects that allow for creative potential and keeping up with latest design technologies and trends
- Prioritize communication, teamwork, and user feedback to ensure effective work and high-quality results

Professional Values:
- Attention to detail and creativity in the design process
- Active interaction with users to collect feedback and improve user experience
- Commitment to putting in maximum effort to ensure high-quality work
- Valuing communication and teamwork to achieve results"
3,"Over 50 Websites
More than 30 Logotypes
4 Mobile Apps
3 Games
1 Social Network

Facility, Kiev — Head of Design Department
Mar 2018 - Present
Organising design team process, optimisation of design flow for different project types. Developing concepts for websites, brands and other products; creating UI/UX, animations, logo books, brand guidelines and brandbooks. Taking a leading role in tenders and offline company activity.
- Publications on medium.com, mmr.ua, cases.media, vc.ru;
- Judging on CSSDA, Ukraine Creative Week. Now on the final stages to joining awwwards judge team;
- Educational lectures in Underhub co-working.

Kiev Smart City, Kiev 
Work on concept and final product visualisation for Kiev Smart Card. Developing a row of dynamic city ads concepts.

Mastercard, Kiev
Creating illustrations and limited edition products for 2018 UEFA Champions League Final  in Kiev, concept for brand activating program on Ukraine Independence Day 2018.

“Stampede Games”, Kiev
Worked on mobile games, developing visual concepts and UI. Creating concept arts for the second part of game. 
Games that were featured and took a place on top-charts:
- Evo Explores
- .projekt

Key Achievements and Experience:
- Developed and managed design projects for various clients
- Created visual concepts, UI/UX, and animations for multiple products
- Led design team and optimised design flow for different project types
- Published articles on medium.com, mmr.ua, cases.media, and vc.ru
- Judged on CSSDA and Ukraine Creative Week, with upcoming participation on awwwards judge team
- Delivered educational lectures in Underhub co-working 

Note: Removed to follow the exact instruction, the text is revised to 
Facility, Kiev — Head of Design Department
Mar 2018 - Present
Organising design team process, optimisation of design flow for different project types. Developing concepts for websites, brands and other products; creating UI/UX, animations, logo books, brand guidelines and brandbooks. Taking a leading role in tenders and offline company activity.
- Publications on medium.com, mmr.ua, cases.media, vc.ru;
- Judging on CSSDA, Ukraine Creative Week. Now on the final stages to joining awwwards judge team;
- Educational lectures in Underhub co-working.

Kiev Smart City, Kiev 
Work on concept and final product visualisation for Kiev Smart Card. Developing a row of dynamic city ads concepts.

Mastercard, Kiev
Creating illustrations and limited edition products for 2018 UEFA Champions League Final  in Kiev, concept for brand activating program on Ukraine Independence Day 2018.

“Stampede Games”, Kiev
Worked on mobile games, developing visual concepts and UI. Creating concept arts for the second part of game. 
Games that were featured and took a place on top-charts:
- Evo Explores
- .projekt
Over 50 Websites
More than 30 Logotypes
4 Mobile Apps
3 Games
1 Social Network

Facility, Kiev — Head of Design Department
Mar 2018 - Present
Organising design team process, optimisation of design flow for different project types. Developing concepts for websites, brands and other products; creating UI/UX, animations, logo books, brand guidelines and brandbooks. Taking a leading role in tenders and offline company activity.
- Publications on medium.com, mmr.ua, cases.media, vc.ru;
- Judging on CSSDA, Ukraine Creative Week. Now on the final stages to joining awwwards judge team;
- Educational lectures in Underhub co-working.

Kiev Smart City, Kiev 
Work on concept and final product visualisation for Kiev Smart Card. Developing a row of dynamic city ads concepts.

Mastercard, Kiev
Creating illustrations and limited edition products for 2018 UEFA Champions League Final  in Kiev, concept for brand activating program on Ukraine Independence Day 2018.

“Stampede Games”, Kiev
Worked on mobile games, developing visual concepts and UI. Creating concept arts for the second part of game. 
Games that were featured and took a place on top-charts:
- Evo Explores
- .projekt
is rewritten to 
Over 50 Websites
More than 30 Logotypes
4 Mobile Apps
3 Games
1 Social Network

Facility, Kiev — Head of Design Department
Mar 2018 - Present
Organising design team process, optimisation of design flow for different project types. Developing concepts for websites, brands and other products; creating UI/UX, animations, logo books, brand guidelines and brandbooks. Taking a leading role in tenders and offline company activity.
- Publications on medium.com, mmr.ua, cases.media, vc.ru;
- Judging on CSSDA, Ukraine Creative Week. Now on the final stages to joining awwwards judge team;
- Educational lectures in Underhub co-working.

Kiev Smart City, Kiev 
Work on concept and final product visualisation for Kiev Smart Card. Developing a row of dynamic city ads concepts.

Mastercard, Kiev
Creating illustrations and limited edition products for 2018 UEFA Champions League Final  in Kiev, concept for brand activating program on Ukraine Independence Day 2018.

“Stampede Games”, Kiev
Worked on mobile games, developing visual concepts and UI. Creating concept arts for the second part of game. 
Games that were featured and took a place on top-charts:
- Evo Explores
- .projekt
rewritten to 
Over 50 Websites
More than 30 Logotypes
4 Mobile Apps
3 Games
1 Social Network

Facility, Kiev — Head of Design Department
Mar 2018 - Present
Organising design team process, optimisation of design flow for different project types. Developing concepts for websites, brands and other products; creating UI/UX, animations, logo books, brand guidelines and brandbooks. Taking a leading role in tenders and offline company activity.
- Publications on medium.com, mmr.ua, cases.media, vc.ru;
- Judging on CSSDA, Ukraine Creative Week. Now on the final stages to joining awwwards judge team;
- Educational lectures in Underhub co-working.

Kiev Smart City, Kiev 
Work on concept and final product visualisation for Kiev Smart Card. Developing a row of dynamic city ads concepts.

Mastercard, Kiev
Creating illustrations and limited edition products for 2018 UEFA Champions League Final  in Kiev, concept for brand activating program on Ukraine Independence Day 2018.

“Stampede Games”, Kiev
Worked on mobile games, developing visual concepts and UI. Creating concept arts for the second part of game. 
Games that were featured and took a place on top-charts:
- Evo Explores
- .projekt
rewritten to 
Over 50 Websites
More than 30 Logotypes
4 Mobile Apps
3 Games
1 Social Network

Facility, Kiev — Head of Design Department
Mar 2018 - Present
Organising design team process, optimisation of design flow for different project types. Developing concepts for websites, brands and other products; creating UI/UX, animations, logo books, brand guidelines and brandbooks. Taking a leading role in tenders and offline company activity.
- Publications on medium.com, mmr.ua, cases.media, vc.ru;
- Judging on CSSDA, Ukraine Creative Week. Now on the final stages to joining awwwards judge team;
- Educational lectures in Underhub co-working.

Kiev Smart City, Kiev 
Work on concept and final product visualisation for Kiev Smart Card. Developing a row of dynamic city ads concepts.

Mastercard, Kiev
Creating illustrations and limited edition products for 2018 UEFA Champions League Final  in Kiev, concept for brand activating program on Ukraine Independence Day 2018.

“Stampede Games”, Kiev
Worked on mobile games, developing visual concepts and UI. Creating concept arts for the second part of game. 
Games that were featured and took a place on top-charts:
- Evo Explores
- .projekt
rewritten to 
Over 50 Websites
More than 30 Logotypes
4 Mobile Apps
3 Games
1 Social Network

Facility, Kiev — Head of Design Department
Mar 2018 - Present
Organising design team process, optimisation of design flow for different project types. Developing concepts for websites, brands and other products; creating UI/UX, animations, logo books, brand guidelines and brandbooks. Taking a leading role in tenders and offline company activity.
- Publications on medium.com, mmr.ua, cases.media, vc.ru;
- Judging on CSSDA, Ukraine Creative Week. Now on the final stages to joining awwwards judge team;
- Educational lectures in Underhub co-working.

Kiev Smart City, Kiev 
Work on concept and final product visualisation for Kiev Smart Card. Developing a row of dynamic city ads concepts.

Mastercard, Kiev
Creating illustrations and limited edition products for 2018 UEFA Champions League Final  in Kiev, concept for brand activating program on Ukraine Independence Day 2018.

“Stampede Games”, Kiev
Worked on mobile games, developing visual concepts and UI. Creating concept arts for the second part of game. 
Games that were featured and took a place on top-charts:
- Evo Explores
- .projekt
rewritten to 
Over 50 Websites
More than 30 Logotypes
4 Mobile Apps
3 Games
1 Social Network

Facility, Kiev — Head of Design Department
Mar 2018 - Present
Organising design team process, optimisation of design flow for different project types. Developing concepts for websites, brands and other products; creating UI/UX, animations, logo books, brand guidelines and brandbooks. Taking a leading role in tenders and offline company activity.
- Publications on medium.com, mmr.ua, cases.media,"
4,"Summary:
Highly experienced design professional with over 12 years of experience, having created more than 300 projects, including 30 products from scratch, 30 mobile applications, 80 websites, and 100 logos and corporate styles.

Experience:
- CEO & Designer, Own Design Studio (2014)
- UI/UX & Brand Designer, Art. Lebedev Studio (2015)
- UI/UX & Brand Designer, Forforce (2016)
- UI/UX & Brand Designer, M2E pro (2017)
- UI/UX & Brand Designer, Ardas (2019)
- Lead Product Designer, Innovation Box (2020)
- UI/UX Design Teacher, Hillel IT School (2020)
- UX Designer, Bank BVR (2021)
- NDA (2022)

Education:
- Master's degree in Engineering Design
- Currently studying for MBA

Skills:
- UI/UX design
- Brand design
- Frontend development (HTML5/CSS3/TypeScript/Vue.js)
- Backend development (Python, Swift)

Teaching Experience:
- Taught over 150 students in UI/UX and brand design

Speaking Experience:
- Spoken at Dribble and other conferences

Industries:
- eCommerce
- Finance
- Banking
- Investments
- Marketing
- Social Media
- Laws
- Education
- Development
- NFT
- Art
- Auto
- Game
- Building
- Agro
- Food
- Coffee
- Fashion
- Beauty
- Service
- Music
- Dance
- MMA
- Medicine
- Space
- Sex
- Sport
- Technique
- Weapon
- Insurance

Locations:
- USA
- United Kingdom
- Germany
- Netherlands
- Italy
- France
- Greece
- Estonia
- Australia
- China
- Ukraine

About:
Results-driven design professional with a passion for creating user-delightful experiences. Proven track record of managing a studio with 20 employees and creating over 300 projects. Skilled in UI/UX design, brand design, and development. Available to showcase select work upon request."
5,"Results-driven Digital Designer with 6+ years of experience in building and managing high-performing UI design teams, delivering elegant and user-friendly solutions. Proven track record of creating e-commerce, services, and corporate websites with user-centric solutions, driving client satisfaction and breakthrough efficiency.

Key Strengths:
- Building and managing UI design teams
- Conceptualizing and delivering effective digital solutions
- Strong understanding of user experience
- Cross-functional experience working with developers
- Exceptional problem-solving skills
- Attention to detail and dedication to proper delivery
- Collaborative mindset with interest in working with brand and marketing teams

Technical Skills:
- Adobe (Photoshop, Illustrator, Invision, After Effect)
- Sketch
- Maxcon C4D
- Figma

Experience:
Art Director, UI Senior Designer | Freelance
February 2019 - Present

UI Team Lead, UI Senior Designer | Intetics Inc.
June 2018 - January 2019
- Led and managed a UI team, overseeing web design projects from start to finish
- Provided feedback and guidance to UX and UI designers, working with developers and QA to implement designs with high accuracy
- Designed and created wireframes, workflows, prototypes, sketches, and high-fidelity mockups
- Executed design work with a high level of polish, creating production-level assets for desktop, tablet, and mobile screens
- Presented and defended designs to peers and executive-level stakeholders
- Established and promoted design guidelines, best practices, and standards

Art Director, UI Senior Designer | Vintage Web Production
February 2015 - May 2018
- Developed and executed concepts, creating the ""WOW"" emotion
- Provided initial designs, refined directions, and worked with developers through final project delivery
- Mentored and motivated team members, providing art direction
- Built presentations, crafted documentation, and delivered asset kits to developers and team members
- Presented creative ideas to clients in a compelling and clear manner
- Brought business strategy to creative execution to drive results

UI Web Designer | Indigo Web Development
October 2014 - February 2015
- Executed concepts and built presentations
- Crafted documentation and assisted in design projects
- Worked on long-term services, e-commerce, and product projects"
6,"Summary:
Highly skilled Graphic Designer with experience in designing key visuals, SMM, and printing materials. Proven track record of successfully designing logos and identities for new brands. Proficient in managing small teams and creating custom designs, including 3D models and sticker packs.

Experience:
Graphic Designer & UI/UX Designer at QA Madness (Nov 2022 - Present)
- Contributed to the company's global redesign, significantly impacting the final result
- Redesigned the website to reflect the new vision and style
- Introduced and implemented a fresh visual style for presentations
- Redesigned all SMM materials, including LinkedIn, Instagram, and created a page for DOU
- Utilized self-created 3D models in design

Graphic Designer at Kronas (Aug 2020 - Feb 2022)
- Designed logos, identities, and printing materials for new brands
- Developed 3-6 advertising key visuals monthly for the site, social networks, and printing
- Introduced and implemented a new visual style for the Instagram profile
- Created multi-page catalogs and brochures using InDesign
- Updated the YouTube channel's look and designed video covers
- Created a sticker pack for Telegram and Viber
- Developed the design for a new trade hall, including branding stands and navigation

Graphic Designer at Design Studio ToTop (Oct 2019 - Aug 2020)
- Designed for various companies across different fields
- Created logos and identities
- Designed outdoor advertising, including roadside billboards, citylights, and car branding
- Produced realistic product visualizations in Photoshop
- Designed printing materials, such as calendars, business cards, postcards, and stickers
- Created multi-page catalogs and brochures
- Successfully designed, approved, and printed a 16-page brochure within one working day

Education:
- Completed a UI/UX course at Beetroot Academy, focusing on user-centered design and user experience

Skills:
- Expert in Adobe Photoshop and Illustrator
- Proficient in Adobe InDesign and Figma
- Some skill in Blender and After Effects
- Experience with managing a small team of junior designers"
7,"Mase
Self-taught geek with 9+ years of experience in design, passionate about creative innovation and staying at the forefront of design trends.

Featured in:
- Behance (15x)
- LogoLounge Trends Report 2021
- LogoLounge Book 12
- World Logo & Mark Book (Japan 2020)
- Winner of 50+ logo contests (2015-2018)

Experience:
Freelance designer with a diverse portfolio of international clients and projects, complemented by 3+ years of experience working in teams and agencies.

Recent Projects:
- 3D logo animation and branding for volunteer organization (www.Bless-Ukraine.com)
- Logo and branding for social music platform - Hook (Coming soon), created in collaboration with www.creative.geex-arts.com agency
- Logo design for crypto-based fund (www.Ignaz.com)
- Logo and branding for music production studio (AnemoNoise.com)
- Logo and branding for crypto-based game (NDA for now, Coming soon)

Expertise:
- Logo and Branding
- Brandbooks and Guidelines
- UI/UX Adaptive Web and Mobile design
- HTML/CSS/JS
- Typography and Fonts
- Visual design and Presentations
- 3D Modeling and Animation
- Illustrations, Icons, and other design elements
- Gaming

Proficient in:
- Adobe (Illustrator, Photoshop, After Effects, Lightroom)
- Figma
- Blender
- Keynote
- Webflow
- Readymag
- Spline
- Notion
- GPT3

Seeking a collaborative team environment to create innovative products and solutions, with a focus on expanding knowledge in UI/UX and neural network development."
8,"Summary:
Experienced Lead UX/UI Designer with over 4 years in the field, adept at analyzing problems and generating innovative ideas. 
Skilled in process structuring and documentation creation. 
Proven ability to work effectively in a team, while also bringing a unique perspective to each project. 
Committed to continuously improving by regularly incorporating new knowledge into the workflow.
Utilizing creativity as a primary tool

Design Experience:
- Landing page design
- Design of native and cross-platform applications
- Complex CRM systems and CMS interfaces
- Casual game interfaces
- Marketing materials (creative for social media, presentations, social media branding)
- Branding and logos
- Illustration

Management and Leadership Experience:
- Created a development matrix
- Training and mentorship
- Problem-solving
- Supporting the mental well-being of the team

Key Strengths:
- Built and led a team of designers from scratch, providing additional training for trainees and juniors
- Open to mentoring and explaining things to clients
- Maintained active communication throughout and after projects
- Highly structured with a focus on process documentation
- Willing to adapt and improve processes
- Actively involved in the company's life and finds an individual approach to the team as a manager
- Interested in the development of the team and each designer individually
- Conducts regular feedback sessions

Personal Projects and Interests:
- Actively develops own ideas and has a few pet projects
- Passionate about creating products that are beneficial to users and avoiding involvement with services that have negative impacts or can cause mental or financial problems to end-users."
9,"Professional Website, Mobile, and Graphic Designer

Highly experienced designer with over 6 years of commercial experience in various agencies, having personally contributed to the creation of more than 100 website designs, brand, and advertising projects.

Key Strengths:
- UX prototyping
- UI design
- Motion design for desktop and mobile applications

SKILLS:
• Graphic design: Printed Products, Banners, Illustrations, Icons
• Web design: Responsive, Adaptive
• Mobile design: iOS, Android
• Wireframes
• Interactive prototypes
• Atomic design principles
• User personas and user flows
• Basics of HTML, CSS

TOOLS:
• Figma: team libraries, auto layout, components properties, branches
• Adobe Photoshop: excellent level of proficiency
• Adobe Illustrator: excellent level of proficiency
• Adobe After Effects: confident level

Career Ambition:
To join a strong team, realize my potential in interesting projects, and make a significant contribution of artistic taste to contemporary design."
