,Modified_mistralai/Mixtral-8x7B-Instruct-v0.1_of_Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo_Modelmistralai/Mixtral-8x7B-Instruct-v0.1
0," * Proficient in Adobe Photoshop, Adobe Illustrator, and graphic tablet usage
* Experienced in UI/UX design
* Familiarity with Figma, Zeplin, Sketch, MarvelApp, and Invision
* Skilled in 2D graphics, including pixel and vector graphics
* Knowledgeable in 2D design and 3D Max
* Ability to work in various styles and draw by hand
* Proficient in creating design banners, layouts, logos, frameworks, and prototypes for websites and mobile applications
* Skilled in game testing and Power Point presentations
* Experienced in bug tracking systems and project management tools such as Trello and Jira
* Portfolio showcasing 5+ years of game industry experience available upon request
* Goal-oriented self-starter seeking to apply design skills and experience to new and interesting projects while expanding knowledge and skills in a friendly team environment with competitive compensation."
1," Proficient in Adobe Photoshop, Adobe Illustrator, and graphic tablet utilization
Experienced in UI/UX design, with expertise in Figma, Zeplin, Sketch, MarvelApp, and Invision
Well-versed in 2D graphics, including pixel and vector graphics, and 3D Max
Skilled in creating design banners, layouts, logos, frameworks, and prototypes for websites and mobile applications
Experienced in game testing, with expertise in making presentations in Power Point
Portfolio available for review
Familiar with bug tracking systems and project management tools such as Trello and Jira
Over 5 years of experience in the game industry, seeking new opportunities to share experience and acquire new skills in a positive and collaborative environment with interesting projects and competitive compensation
Goal-oriented individual with a desire to bring others' dreams to life."
2," Web and UX/UI Designer

* Experience in website redesign and user interface design
* Led projects including the redesign of the Children's Music School website and development of Pet-Saver-Hub
* Conducted thorough analysis and user research to create intuitive and visually appealing designs
* Proficient in wireframing, visual design, user research, and responsive design
* Strong focus on creating user-friendly interfaces and improving user experience
* Skilled in collaborating with professionals, communication, teamwork, and collecting user feedback
* Enthusiastic about contributing to impactful projects and learning new design technologies and trends

* Proficient in tools such as Sketch, Figma, Adobe XD, InVision, and Marvel
* Experienced in HTML, CSS, and JavaScript for prototyping and styling
* Strong understanding of user-centered design principles and user testing methodologies
* Ability to manage multiple projects and meet tight deadlines
* Excellent problem-solving skills and attention to detail
* Proactive in staying up-to-date with industry trends and best practices
* Strong portfolio showcasing a range of design projects and client work."
3," ---

Over 50 Websites & More than 3"
4," - Over a decade of experience in design, with a proven track record of over 300 completed projects, including:
  - 30 products designed from scratch
  - 30 mobile applications
  - 80 websites
  - 100 logos and corporate styles
- Proven leadership abilities, having created and managed a design studio with 20 employees
- Extensive teaching experience, having taught over 150 students in UI/UX and brand design
- Internationally recognized speaker, with appearances at Dribble and other conferences
- Master's degree in ""Engineering Design""
- Currently pursuing an MBA
- Extensive experience across multiple industries, including:
  - eCommerce
  - Finance
  - Banking
  - Investments
  - Marketing
  - Social Media
  - Laws
  - Education
  - Development
  - NFT
  - Art
  - Auto
  - Game
  - Building
  - Agro
  - Food
  - Coffee
  - Fashion
  - Beauty
  - Service
  - Music
  - Dance
  - MMA
  - Medicine
  - Space
  - Sex
  - Sport
  - Technique
  - Weapon
  - Insurance
- Proven ability to work with clients from a variety of countries and cultures, including:
  - USA
  - United Kingdom
  - Germany
  - Netherlands
  - Italy
  - France
  - Greece
  - Estonia
  - Australia
  - China
  - Ukraine
- Extensive professional experience, having held positions such as:
  - UX Designer at Bank BVR
  - UI/UX Design Teacher at Hillel IT School
  - Lead Product Designer at Innovation Box
  - UI/UX & Brand Designer at Ardas
  - UI/UX & Brand Designer at M2E pro
  - UI/UX & Brand Designer at Forforce
  - UI/UX & Brand Designer at Art. Lebedev Studio
  - CEO & Designer at Own Design Studio
  - UI/UX & Brand Designer at ""Poster""
  - UI/UX & Brand Designer at ""le Weekend""
  - UI/UX & Brand Designer at ""November"" Design Bureau
  - Freelance Graphic Designer
  - Cartoonist in Paint
  - Graduate of Drawing School."
5," Digital Designer & Art Director

Experience:

UI Team Lead, Senior Designer | Intetics Inc. | June 2018 - January 2019

* Led and managed UI team, overseeing web design projects from start to finish
* Provided feedback and guidance to UX and UI designers, collaborating with developers and QA to accurately implement designs
* Created wireframes, workflows, prototypes, sketches, and high-fidelity mockups for web development
* Presented and defended designs to peers and stakeholders, establishing and promoting design guidelines and standards

Art Director, Senior Designer | Vintage Web Production | February 2015 - Mai 2018

* Developed and executed concepts to create the ""WOW"" factor in designs
* Provided initial designs and worked with developers through project delivery, mentoring and motivating team members
* Presented creative ideas to clients and assisted in designing long term projects, including services and e-commerce sites

UI Web Designer | Indigo Web Development | October 2014 - February 2015

* Executed design concepts, built presentations and documentation for web development

Skills:

* Proficient in Adobe (Photoshop, Illustrator, Invision, After Effect), Sketch, Maxcon C4D, Figma
* Strong understanding of user experience, cross-functional experience in working with developers
* Exceptional problem-solving skills, attention to detail, and dedication to delivering high-quality work
* Collaborative mindset, interested in working with brand and marketing teams."
6," Graphic Designer/Lead Graphic Designer & Prepress Operator/DTP Designer
Expert in Adobe Photoshop, Illustrator; Proficient in Adobe InDesign, Figma; Familiar with Blender, After Effects

1. Graphic Designer/UI/UX Designer at QA Madness
- Global company redesign contribution
- Redesigned website, presentations, and SMM materials
-"
7," - Featured in Behance 15x
- Featured in LogoLounge Trends Report 2021
- Featured in LogoLounge Book 12
- Featured in World Logo & Mark Book (Japan 2020)
- Winner of 50+ logo contests (2015-2018)

With 9+ years of design experience, I have worked on a variety of projects, including logo design, branding, 3D modeling, and more. I have collaborated with clients worldwide as a freelancer, as well as on teams and in agencies for over 3 years.

Seeking opportunities to work with a team and create innovative products and solutions. Passionate about UI/UX design and neural network development. Committed to ongoing learning and growth in these areas.

Recent Projects:

* 3D logo animation & branding for volunteer organization [www.Bless-Ukraine.com](http://www.Bless-Ukraine.com)
* Logo & branding for social music platform [hook](http://hook) (Coming soon) (Created with [www.creative.geex-arts.com](http://www.creative.geex-arts.com) agency)
* Logo for crypto-based fund [www.Ignaz.com](http://www.Ignaz.com)
* Logo & Branding for music production studio [AnemoNoise.com](http://AnemoNoise.com)
* Logo & Branding for the crypto-based game ""NDA for now"" (Coming soon)

Skills:

* Logo & Branding
* Brandbooks & Guidelines
* UI/UX Design
* Adaptive Web & Mobile design
* Html/CSS/Js
* Typography & Fonts
* Visual design & Presentations
* 3D Modeling & Animation
* Illustrations, Icons
* Gaming

Software:

* Adobe [Illustrator, Photoshop, After Effects, Lightroom]
* Figma
* Blender
* Keynote
* Webflow
* Readymag
* Spline
* Notion
* Gpt3."
8," Experienced Lead UX/UI Designer

- Established and trained a team of designers, providing mentorship to trainees and junior staff
- Demonstrated strong communication skills throughout all stages of projects, facilitating effective collaboration and stakeholder management
- Implemented and maintained structured processes within the company, enhancing efficiency and consistency
- Proactively sought out opportunities to improve processes, driving continuous improvement and innovation
- Actively participated in company initiatives and events, contributing to a positive and engaged corporate culture
- Tailored management approach to individual team members, maximizing their potential and job satisfaction
- Conducted regular feedback sessions with team members, promoting continuous learning and development
- Developed personal design projects, showcasing creativity and innovation
- Skilled in problem-solving and generating innovative ideas, delivering high-quality design solutions
- Proficient in process structuring and documentation, ensuring clarity and transparency in project management
- Collaborative team player with a unique perspective, fostering a positive and productive team environment
- Driven to continuously improve and incorporate new knowledge, staying current with industry trends and developments
- Utilized creativity as a primary tool in design projects, producing visually appealing and user-friendly designs
- Specialized in landing page design, application interfaces, CRM systems, game interfaces, marketing materials, branding, logos, and illustration
- Managed team development through creation of development matrix, training, mentorship, problem-solving, and support for mental well-being
- Passionate about creating user-friendly products and avoiding harmful services, committed to delivering the best possible user experience."
9," Experienced professional with 6+ years in website, mobile, and graphic design. Took personal part in the creation of over 100 website designs, branding, and advertising projects.

Skilled in:

* Graphic design: Printed products, banners, illustrations, icons
* Web design: Responsive, adaptive
* Mobile design: iOS, Android
* Wireframes
* Interactive prototypes
* Principles of atomic design
* User personas and user flows
* Basics of HTML, CSS

Tools:

* Figma (team libraries, auto layout, components properties, branches)
* Adobe Photoshop
* Adobe Illustrator
* Adobe After Effects

Seeking to join a strong team to work on interesting projects and bring artistic taste to contemporary design."
